GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
econexion-lab,io.econexion,EconexionLabApplication,5,3,0,0,2,1,1,1,1,1
econexion-lab,io.econexion.chat.controller,ChatController,52,6,4,0,7,3,6,1,4,1
econexion-lab,io.econexion.chat.dto,MessageDTO,6,21,0,0,2,5,2,3,2,3
econexion-lab,io.econexion.chat.dto,ConversationSummaryDTO,18,24,0,0,6,9,6,2,6,2
econexion-lab,io.econexion.chat.dto,SendMessageRequest,17,0,0,0,5,0,5,0,5,0
econexion-lab,io.econexion.chat.dto,CreateConversationRequest,31,0,0,0,9,0,9,0,9,0
econexion-lab,io.econexion.chat.service,ChatService,70,127,2,2,10,30,6,6,4,6
econexion-lab,io.econexion.service,OfferService,5,20,0,0,2,5,1,3,1,3
econexion-lab,io.econexion.service,UserService,12,192,8,20,1,39,9,17,1,11
econexion-lab,io.econexion.service,PostService,21,34,1,3,3,7,4,4,3,3
econexion-lab,io.econexion.dtos,CreateOfferDTO,0,24,0,0,0,5,0,7,0,7
econexion-lab,io.econexion.dtos,LoginRequestDto,0,26,0,0,0,9,0,6,0,6
econexion-lab,io.econexion.dtos,CreatePostDto,259,0,42,0,7,0,38,0,17,0
econexion-lab,io.econexion.dtos,RegisterRequest,167,0,30,0,6,0,27,0,12,0
econexion-lab,io.econexion.security,SecurityConfig,24,121,0,0,5,19,3,11,3,11
econexion-lab,io.econexion.security,SecurityConfig.SimpleJwtFilter,0,55,1,3,0,21,1,3,0,2
econexion-lab,io.econexion.security,JwtUtil,0,47,0,0,0,18,0,4,0,4
econexion-lab,io.econexion.security,SecurityConfig.LoginRequest,0,9,0,0,0,1,0,1,0,1
econexion-lab,io.econexion.security,SecurityConfig.LoginResponse,0,6,0,0,0,1,0,1,0,1
econexion-lab,io.econexion.security,SecurityConfig.LoginController,0,50,0,0,0,12,0,2,0,2
econexion-lab,io.econexion.model,User,23,188,7,7,0,24,9,24,3,23
econexion-lab,io.econexion.model,Message,56,6,0,0,5,3,11,1,11,1
econexion-lab,io.econexion.model,Offer,109,80,7,7,25,4,18,12,12,11
econexion-lab,io.econexion.model,Conversation,71,70,7,7,4,6,14,7,8,6
econexion-lab,io.econexion.model,Post,126,93,7,7,26,5,20,14,14,13
econexion-lab,io.econexion.model,OfferStatus,21,0,0,0,4,0,1,0,1,0
econexion-lab,io.econexion.model,Role,21,0,0,0,4,0,1,0,1,0
econexion-lab,io.econexion.exception,GlobalExceptionHandler,14,231,7,7,3,42,5,9,0,7
econexion-lab,io.econexion.chat,ChatConversation,22,48,4,2,7,17,6,12,3,12
econexion-lab,io.econexion.chat,ChatMessage,7,31,0,0,3,13,2,9,2,9
econexion-lab,io.econexion.controller,AuthenticationController.RegisterRequest,21,0,0,0,1,0,1,0,1,0
econexion-lab,io.econexion.controller,OfferController,89,15,4,0,20,6,7,1,5,1
econexion-lab,io.econexion.controller,AuthenticationController.LoginRequest,0,9,0,0,0,1,0,1,0,1
econexion-lab,io.econexion.controller,AuthenticationController.LoginResponse,0,6,0,0,0,1,0,1,0,1
econexion-lab,io.econexion.controller,AuthenticationController,11,135,0,2,3,30,0,5,0,4
econexion-lab,io.econexion.controller,UserController,20,54,2,2,4,14,4,6,2,6
econexion-lab,io.econexion.controller,PostController,99,15,0,0,21,6,5,1,5,1
